uid,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary
1,1,0.45,0.5,2,126,3,0,0,technical,low
2,1,0.37,0.45,2,126,3,0,0,support,medium
3,1,0.37,0.53,2,126,3,0,0,sales,low
4,1,0.39,0.56,2,126,3,0,0,hr,low
5,1,0.41,0.48,2,126,3,0,0,technical,low
6,1,0.43,0.46,2,126,3,0,0,sales,medium
7,1,0.45,0.5,2,126,3,0,0,technical,low
8,1,0.37,0.45,2,126,3,0,0,support,medium
9,1,0.45,0.5,2,126,3,0,0,technical,low
10,1,0.37,0.45,2,126,3,0,0,support,medium
11,1,0.4,0.46,2,127,3,0,0,technical,low
12,1,0.37,0.51,2,127,3,0,0,sales,medium
13,1,0.4,0.46,2,127,3,0,0,hr,medium
14,1,0.44,0.51,2,127,3,0,0,technical,medium
15,1,0.37,0.55,2,127,3,0,0,RandD,medium
16,1,0.41,0.52,2,127,3,1,0,support,low
17,1,0.39,0.54,2,127,3,0,0,IT,low
18,1,0.44,0.53,2,127,3,0,0,RandD,medium
19,1,0.39,0.53,2,127,3,0,0,sales,medium
20,1,0.39,0.57,2,127,3,0,0,sales,low
21,1,0.43,0.57,2,127,3,0,0,IT,low
22,1,0.36,0.45,2,127,3,0,0,accounting,low
23,1,0.4,0.5,2,127,3,0,0,IT,low
24,1,0.39,0.54,2,127,3,0,0,sales,low
25,1,0.44,0.54,2,127,3,0,0,management,medium
26,1,0.38,0.49,2,127,3,0,0,support,medium
27,1,0.41,0.51,2,127,3,0,0,support,medium
28,1,0.44,0.49,2,127,3,1,0,sales,low
29,1,0.38,0.45,2,127,3,0,0,technical,low
30,1,0.43,0.5,2,127,3,1,0,sales,medium
31,1,0.39,0.5,2,127,3,0,0,technical,low
32,1,0.44,0.56,2,127,3,0,0,IT,low
33,1,0.39,0.46,2,127,3,0,0,management,low
34,1,0.41,0.52,2,127,3,0,0,IT,medium
35,1,0.37,0.51,2,127,3,0,0,sales,medium
36,1,0.4,0.5,2,127,3,0,0,IT,low
37,1,0.39,0.48,2,127,3,0,0,accounting,medium
38,1,0.37,0.46,2,127,3,0,0,IT,medium
39,1,0.36,0.54,2,127,3,0,0,marketing,low
40,1,0.4,0.53,2,127,3,0,0,support,low
41,1,0.39,0.49,2,127,3,0,0,IT,medium
42,1,0.4,0.46,2,127,3,0,0,technical,low
43,1,0.37,0.51,2,127,3,0,0,sales,medium
44,1,0.4,0.46,2,127,3,0,0,hr,medium
45,1,0.44,0.51,2,127,3,0,0,technical,medium
46,1,0.37,0.55,2,127,3,0,0,RandD,medium
47,1,0.41,0.52,2,127,3,1,0,support,low
48,1,0.39,0.54,2,127,3,0,0,IT,low
49,1,0.44,0.53,2,127,3,0,0,RandD,medium
50,1,0.39,0.53,2,127,3,0,0,sales,medium
